<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200108,060000,8343.6800000,8377.5600000,8306.9200000,8335.0900000,431
20200108,070000,8334.4700000,8361.4800000,8320.0000000,8338.2200000,288
20200108,080000,8337.6500000,8342.9500000,8281.1900000,8300.1300000,248
20200108,090000,8299.0100000,8327.9600000,8268.1000000,8312.5400000,216
20200108,100000,8312.5500000,8318.3800000,8276.5000000,8295.4500000,151
20200108,110000,8297.9100000,8362.6100000,8288.1900000,8334.7900000,315
20200108,120000,8339.0300000,8374.8800000,8332.0200000,8334.8000000,195
20200108,130000,8337.4100000,8347.6900000,8276.1600000,8281.8900000,522
20200108,140000,8280.5200000,8416.2000000,8220.2400000,8384.4800000,1145
20200108,150000,8384.4800000,8384.4900000,8202.5700000,8307.3300000,1045
20200108,160000,8308.5200000,8357.6900000,8233.0000000,8301.0400000,694
20200108,170000,8302.1700000,8332.4900000,8060.0000000,8115.0000000,3052
20200108,180000,8115.0000000,8123.2400000,8008.8800000,8080.1800000,1516
20200108,190000,8076.7900000,8090.9400000,8030.0000000,8046.5900000,651
20200108,200000,8046.5900000,8060.8700000,7960.0000000,7961.1900000,1080
20200108,210000,7961.1900000,8050.0000000,7845.0000000,8043.5500000,2309
20200108,220000,8041.7500000,8041.7500000,7951.0600000,8001.0000000,788
20200108,230000,8003.9200000,8091.1600000,7975.8000000,8067.3100000,507
20200109,000000,8067.3100000,8112.9300000,8024.2200000,8045.5100000,482
20200109,010000,8047.7500000,8048.6700000,7927.2700000,7949.7200000,680
20200109,020000,7949.7200000,8029.3400000,7946.9400000,7993.0000000,264
20200109,030000,7995.0000000,8016.0700000,7974.6300000,7975.0000000,264
20200109,040000,7975.0100000,7986.5500000,7931.9200000,7948.2500000,445
20200109,050000,7948.2600000,7974.9700000,7927.2900000,7966.4800000,278
20200109,060000,7966.4800000,7966.4900000,7930.0000000,7939.8500000,196
20200109,070000,7939.8500000,7946.8800000,7902.2400000,7910.6000000,293
20200109,080000,7910.6100000,7966.9900000,7908.7000000,7946.7700000,176
20200109,090000,7946.0200000,7953.5700000,7917.2900000,7934.1500000,98
20200109,100000,7934.1500000,7934.1500000,7856.3600000,7869.4100000,437
20200109,110000,7869.4100000,7934.8200000,7856.3100000,7885.3300000,191
20200109,120000,7887.7300000,7897.4000000,7852.5800000,7873.0500000,172
20200109,130000,7873.0500000,7908.9600000,7865.0300000,7893.7100000,119
20200109,140000,7893.7200000,7943.2000000,7885.1100000,7890.0000000,377
20200109,150000,7889.9900000,7913.6500000,7871.2000000,7879.1500000,330
20200109,160000,7880.0400000,7925.0000000,7879.1600000,7899.5100000,336
20200109,170000,7899.5000000,7916.3100000,7803.2800000,7816.2300000,705
20200109,180000,7816.2200000,7842.6900000,7777.0000000,7790.9700000,551
20200109,190000,7790.9700000,7825.5000000,7782.5700000,7810.3400000,284
20200109,200000,7810.3400000,7950.0000000,7809.1200000,7916.5100000,666
20200109,210000,7915.6500000,7995.7200000,7800.0000000,7815.0900000,1276
20200109,220000,7809.1500000,7840.0000000,7744.4800000,7785.0000000,792
20200109,230000,7785.0000000,7870.0300000,7784.9900000,7804.9900000,326
20200110,000000,7804.9900000,7827.6500000,7784.6400000,7813.7800000,222
20200110,010000,7813.7800000,7845.6900000,7809.5100000,7814.6100000,252
20200110,020000,7815.3600000,7833.7900000,7780.8400000,7794.9900000,264
20200110,030000,7794.9900000,7816.7600000,7787.6600000,7791.7400000,219
20200110,040000,7791.6500000,7811.9000000,7763.9600000,7805.7100000,188
20200110,050000,7805.8500000,7806.7800000,7757.9300000,7786.0100000,242
20200110,060000,7786.0100000,7786.0100000,7721.1200000,7737.4200000,345
20200110,070000,7735.8400000,7766.5600000,7711.2200000,7733.4000000,436
20200110,080000,7733.3900000,7739.7100000,7711.0100000,7735.5800000,707
20200110,090000,7735.5800000,7735.5800000,7678.0000000,7698.0100000,516
20200110,100000,7700.6000000,7741.7300000,7687.7500000,7714.8200000,259
20200110,110000,7714.8200000,7771.0200000,7671.0000000,7763.5700000,520
20200110,120000,7763.5700000,7846.1300000,7762.9400000,7831.0000000,422
20200110,130000,7831.0100000,7887.7200000,7797.8400000,7885.5300000,301
20200110,140000,7885.3200000,7936.4600000,7857.9700000,7862.3800000,426
20200110,150000,7859.9500000,7977.3500000,7845.0100000,7973.2400000,987
20200110,160000,7971.7100000,8094.1800000,7947.0000000,8058.5900000,1324
20200110,170000,8058.8800000,8132.0100000,7930.9500000,7952.9000000,1307
20200110,180000,7950.8800000,7974.9000000,7912.1500000,7964.2400000,404
20200110,190000,7964.2400000,8109.7300000,7964.2400000,8023.4200000,1030
20200110,200000,8023.4200000,8130.0000000,7975.0000000,8065.5000000,883
20200110,210000,8065.5100000,8100.0000000,8041.0800000,8074.8800000,392
20200110,220000,8074.4800000,8133.6700000,8023.8700000,8046.4700000,795
20200110,230000,8046.4800000,8102.5800000,7985.0000000,8092.4700000,452
20200111,000000,8092.4300000,8199.7700000,8066.0900000,8198.0900000,729
20200111,010000,8198.0900000,8205.0000000,8133.4400000,8170.5500000,540
20200111,020000,8172.7400000,8262.7800000,8170.6800000,8206.0200000,695
20200111,030000,8206.0200000,8213.8600000,8159.0700000,8206.4400000,402
20200111,040000,8206.0000000,8206.4400000,8135.0000000,8159.8300000,354
20200111,050000,8158.6100000,8178.6700000,8103.3600000,8116.0900000,277
20200111,060000,8116.0900000,8116.0900000,8048.5300000,8086.5400000,493
20200111,070000,8086.5400000,8130.6700000,8063.1000000,8115.2000000,153
20200111,080000,8115.2100000,8145.6100000,8061.4300000,8074.7900000,106
20200111,090000,8073.1300000,8097.6500000,8038.0000000,8054.6600000,96
20200111,100000,8054.6600000,8122.0000000,8054.6400000,8109.5300000,78
20200111,110000,8110.9500000,8110.9500000,8045.6700000,8050.9400000,67
20200111,120000,8050.4300000,8071.0900000,8011.5600000,8037.0000000,226
20200111,130000,8037.0000000,8065.2100000,8017.1200000,8052.3000000,104
20200111,140000,8054.8800000,8098.2200000,8047.3700000,8085.4100000,120
20200111,150000,8085.4100000,8112.3200000,8050.0000000,8050.0000000,153
20200111,160000,8050.0100000,8095.3300000,8050.0000000,8092.6100000,234
20200111,170000,8092.6000000,8175.0000000,8061.5600000,8168.8300000,340
20200111,180000,8168.7500000,8225.0900000,8150.0300000,8155.7500000,499
20200111,190000,8155.7500000,8185.6700000,8123.6900000,8162.1400000,314
20200111,200000,8162.1300000,8174.1700000,8134.6700000,8150.0200000,171
20200111,210000,8148.4000000,8184.1400000,8141.9300000,8163.1500000,225
20200111,220000,8160.9000000,8290.0000000,8053.0000000,8101.9900000,825
20200111,230000,8101.9900000,8103.4700000,8023.5900000,8073.7800000,590
20200112,000000,8076.2500000,8077.8500000,8000.0100000,8020.0000000,467
20200112,010000,8017.4700000,8073.0900000,7963.2500000,8062.6600000,619
20200112,020000,8062.4800000,8087.5000000,8034.9900000,8063.7600000,129
20200112,030000,8062.9500000,8106.1900000,8050.0000000,8091.5200000,130
20200112,040000,8091.7200000,8106.7000000,8060.0400000,8088.1900000,80
20200112,050000,8088.1900000,8100.0000000,8062.9400000,8066.5200000,119
20200112,060000,8067.0700000,8102.9100000,8067.0700000,8101.5300000,72
20200112,070000,8101.5300000,8149.4900000,8081.6200000,8081.6300000,175
20200112,080000,8081.6300000,8104.2100000,8078.7900000,8092.9400000,68
20200112,090000,8092.8200000,8140.0000000,8082.0600000,8134.0300000,81
20200112,100000,8134.0300000,8154.0000000,8117.8400000,8128.0000000,120
20200112,110000,8127.9900000,8135.2500000,8092.9000000,8118.5300000,47
20200112,120000,8118.5300000,8125.9000000,8101.0300000,8103.9000000,29
20200112,130000,8103.9000000,8148.3100000,8103.9000000,8131.0100000,116
20200112,140000,8131.0100000,8164.7100000,8117.3700000,8162.8600000,130
20200112,150000,8160.0100000,8178.1800000,8121.3200000,8132.4000000,177
20200112,160000,8130.2700000,8161.0000000,8130.2700000,8146.1300000,101
20200112,170000,8146.1300000,8166.8100000,8094.6400000,8096.9600000,230
20200112,180000,8096.9600000,8185.0000000,8070.3800000,8092.8100000,374
20200112,190000,8093.3600000,8124.8100000,8078.1000000,8115.5400000,120
20200112,200000,8115.5300000,8157.8200000,8115.5300000,8125.2200000,261
20200112,210000,8125.2200000,8147.1100000,8125.2200000,8139.7900000,140
20200112,220000,8139.7800000,8143.9800000,8097.0000000,8103.1500000,147
20200112,230000,8100.8000000,8160.1000000,8098.3400000,8152.9600000,163
20200113,000000,8152.9600000,8180.8100000,8135.8600000,8180.8100000,266
20200113,010000,8180.8100000,8195.8100000,8137.5600000,8145.0700000,323
20200113,020000,8145.0700000,8157.2200000,8132.2800000,8146.1600000,324
20200113,030000,8146.1700000,8152.0100000,8106.4300000,8109.4200000,182
20200113,040000,8109.4200000,8117.1800000,8085.2900000,8101.5600000,235
20200113,050000,8101.5400000,8113.0600000,8084.9400000,8108.7800000,158
20200113,060000,8108.5500000,8108.5500000,8074.9800000,8082.6900000,171
20200113,070000,8082.6900000,8104.6800000,8041.9500000,8047.2400000,424
20200113,080000,8047.2300000,8074.7200000,8047.2300000,8063.7400000,329
20200113,090000,8063.7400000,8113.1900000,8057.3000000,8113.1900000,277
